scene,bmp_type,scan_mode,block_size,block_row,block_col,values_count,payload_size_bytes,block_compression_performance_percent
external_camera_512,bw_1bit,zigzag_64,64,3,2,4096,177,95.68
external_camera_512,bw_1bit,row_major,64,3,3,4096,374,90.87
external_camera_512,bw_1bit,col_major,64,3,3,4096,396,90.33
external_camera_512,bw_1bit,zigzag_64,64,3,3,4096,419,89.77
external_camera_512,bw_1bit,row_major,64,3,4,4096,1338,67.33
external_camera_512,bw_1bit,col_major,64,3,4,4096,750,81.69
external_camera_512,bw_1bit,zigzag_64,64,3,4,4096,1350,67.04
external_camera_512,bw_1bit,row_major,64,3,5,4096,1247,69.56
external_camera_512,bw_1bit,col_major,64,3,5,4096,955,76.68
external_camera_512,bw_1bit,zigzag_64,64,3,5,4096,1285,68.63
external_camera_512,bw_1bit,row_major,64,3,6,4096,1423,65.26
external_camera_512,bw_1bit,col_major,64,3,6,4096,1345,67.16
external_camera_512,bw_1bit,zigzag_64,64,3,6,4096,1902,53.56
external_camera_512,bw_1bit,row_major,64,3,7,4096,509,87.57
external_camera_512,bw_1bit,col_major,64,3,7,4096,843,79.42
external_camera_512,bw_1bit,zigzag_64,64,3,7,4096,875,78.64
external_camera_512,bw_1bit,row_major,64,4,0,4096,25,99.39
external_camera_512,bw_1bit,col_major,64,4,0,4096,16,99.61
external_camera_512,bw_1bit,zigzag_64,64,4,0,4096,8,99.8
external_camera_512,bw_1bit,row_major,64,4,1,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,4,1,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,4,1,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,4,2,4096,16,99.61
external_camera_512,bw_1bit,col_major,64,4,2,4096,16,99.61
external_camera_512,bw_1bit,zigzag_64,64,4,2,4096,16,99.61
external_camera_512,bw_1bit,row_major,64,4,3,4096,210,94.87
external_camera_512,bw_1bit,col_major,64,4,3,4096,512,87.5
external_camera_512,bw_1bit,zigzag_64,64,4,3,4096,288,92.97
external_camera_512,bw_1bit,row_major,64,4,4,4096,1298,68.31
external_camera_512,bw_1bit,col_major,64,4,4,4096,593,85.52
external_camera_512,bw_1bit,zigzag_64,64,4,4,4096,1083,73.56
external_camera_512,bw_1bit,row_major,64,4,5,4096,134,96.73
external_camera_512,bw_1bit,col_major,64,4,5,4096,172,95.8
external_camera_512,bw_1bit,zigzag_64,64,4,5,4096,177,95.68
external_camera_512,bw_1bit,row_major,64,4,6,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,4,6,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,4,6,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,4,7,4096,12,99.71
external_camera_512,bw_1bit,col_major,64,4,7,4096,12,99.71
external_camera_512,bw_1bit,zigzag_64,64,4,7,4096,12,99.71
external_camera_512,bw_1bit,row_major,64,5,0,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,5,0,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,5,0,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,5,1,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,5,1,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,5,1,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,5,2,4096,601,85.33
external_camera_512,bw_1bit,col_major,64,5,2,4096,482,88.23
external_camera_512,bw_1bit,zigzag_64,64,5,2,4096,190,95.36
external_camera_512,bw_1bit,row_major,64,5,3,4096,52,98.73
external_camera_512,bw_1bit,col_major,64,5,3,4096,52,98.73
external_camera_512,bw_1bit,zigzag_64,64,5,3,4096,52,98.73
external_camera_512,bw_1bit,row_major,64,5,4,4096,1923,53.05
external_camera_512,bw_1bit,col_major,64,5,4,4096,708,82.71
external_camera_512,bw_1bit,zigzag_64,64,5,4,4096,1822,55.52
external_camera_512,bw_1bit,row_major,64,5,5,4096,390,90.48
external_camera_512,bw_1bit,col_major,64,5,5,4096,279,93.19
external_camera_512,bw_1bit,zigzag_64,64,5,5,4096,500,87.79
external_camera_512,bw_1bit,row_major,64,5,6,4096,365,91.09
external_camera_512,bw_1bit,col_major,64,5,6,4096,402,90.19
external_camera_512,bw_1bit,zigzag_64,64,5,6,4096,408,90.04
external_camera_512,bw_1bit,row_major,64,5,7,4096,356,91.31
external_camera_512,bw_1bit,col_major,64,5,7,4096,382,90.67
external_camera_512,bw_1bit,zigzag_64,64,5,7,4096,399,90.26
external_camera_512,bw_1bit,row_major,64,6,0,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,6,0,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,6,0,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,6,1,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,6,1,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,6,1,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,6,2,4096,1181,71.17
external_camera_512,bw_1bit,col_major,64,6,2,4096,857,79.08
external_camera_512,bw_1bit,zigzag_64,64,6,2,4096,1080,73.63
external_camera_512,bw_1bit,row_major,64,6,3,4096,1198,70.75
external_camera_512,bw_1bit,col_major,64,6,3,4096,1102,73.1
external_camera_512,bw_1bit,zigzag_64,64,6,3,4096,1203,70.63
external_camera_512,bw_1bit,row_major,64,6,4,4096,2706,33.94
